Mexican Spanish,English
Eres muy guapo/guapa,You are very handsome/beautiful
¿Te puedo invitar algo de tomar?,Can I buy you a drink?
¿Vienes seguido por aquí?,Do you come here often?
Me gustaría conocerte mejor,I'd like to get to know you better
¿Quieres ir por un café?,Would you like to go for coffee sometime?
Tienes una sonrisa hermosa,You have a beautiful smile
¿A qué te dedicas?,What do you do for a living?
¿Tienes planes para el fin?,Do you have any plans for the weekend?
Me gusta mucho tu onda,I really like your style
¿Podemos intercambiar números?,Could we exchange numbers?
¿Tienes hermanos?,Do you have any siblings?
¿Qué tipo de música te late?,What kind of music do you like?
La estoy pasando muy bien contigo,I'm having a great time with you
¿Tienes mascotas?,Do you have any pets?
¿Cuál es tu película favorita?,What's your favorite movie?
¿Te gusta viajar?,Do you like to travel?
¿Podríamos volver a salir?,Could we go out again?
¿Haces algún deporte?,Do you play any sports?
Me encanta tu sentido del humor,I love your sense of humor
Qué padre que te conocí,I'm glad I met you
Hola, ¿cómo estás?,Hello, how are you?
¿Te gustaría salir conmigo?,Would you like to go out with me?
Me encantas.,I like you a lot.
Eres muy especial para mí.,You are very special to me.
Me gusta pasar tiempo contigo.,I enjoy spending time with you.
Te extraño.,I miss you.
¿Qué te gusta hacer en tu tiempo libre?,What do you like to do in your free time?
¿Cuál es tu comida favorita?,What is your favorite food?
Me haces muy feliz.,You make me very happy.
Eres increíble.,You are amazing.
Me encanta tu sonrisa.,I love your smile.
¿Te gustaría ir a cenar esta noche?,Would you like to go to dinner tonight?
Gracias por ser tan maravillosa.,Thank you for being so wonderful.
¿Quieres ver una película?,Do you want to watch a movie?
Eres muy bonita.,You are very beautiful.
Te quiero.,I love you.
¿Podemos hablar más tarde?,Can we talk later?
Estoy pensando en ti.,I am thinking of you.
Me gusta mucho estar contigo.,I really like being with you.
¿Te gustaría ir a caminar?,Would you like to go for a walk?
