Spanish,English
Quisiera reservar una mesa,I would like to reserve a table
Una mesa para dos personas,A table for two people
¿Puedo ver el menú?,May I see the menu?
¿Cuáles son los platos del día?,What are the daily specials?
Soy vegetariano/a,I am vegetarian
Soy alérgico/a a...,I am allergic to...
La cuenta por favor,The bill please
¿Puedo pagar con tarjeta?,Can I pay by card?
Estaba delicioso,It was delicious
¿Qué recomienda?,What do you recommend?
Quisiera una copa de vino,I would like a glass of wine
Agua del grifo por favor,Tap water please
¿Está incluido el servicio?,Is the service included?
¿Tienen una mesa en la terraza?,Do you have a table outside?
¿Puede explicarme este plato?,Can you explain this dish to me?
Está demasiado hecho,It's overcooked
Está poco hecho,It's undercooked
¿Puedo tener sal y pimienta?,Can I have some salt and pepper?
¿Tienen un menú en inglés?,Do you have a menu in English?
¡Buen provecho!,Enjoy your meal!
