German,English
Was ist Ihr Beruf?,What is your profession?
Ich arbeite in...,I work in...
Wo ist der Besprechungsraum?,Where is the meeting room?
Können Sie mir eine E-Mail schicken?,Can you send me an email?
Was ist die Frist für dieses Projekt?,What is the deadline for this project?
Ich bin im Urlaub,I am on vacation
Können wir das Meeting verschieben?,Can we reschedule the meeting?
Haben Sie den Bericht fertiggestellt?,Have you finished the report?
Ich arbeite heute von zu Hause aus,I'm working from home today
Was sind meine Aufgaben?,What are my responsibilities?
Wer ist für dieses Projekt verantwortlich?,Who is in charge of this project?
Kann ich einen Tag frei nehmen?,Can I take a day off?
Wie lautet Ihre geschäftliche Telefonnummer?,What is your work phone number?
Können Sie mir eine Zusammenfassung geben?,Can you give me a summary?
Ich brauche Hilfe bei dieser Akte,I need help with this file
Wann beginnt die Besprechung?,What time does the meeting start?
Haben Sie Fragen?,Do you have any questions?
Ich bin neu hier,I'm new here
Wo kann ich dieses Dokument ausdrucken?,Where can I print this document?
Gut gemacht!,Good job!
