French,English
Où est la gare?,Where is the train station?
Je voudrais réserver une chambre,I would like to book a room
À quelle heure part le train?,What time does the train leave?
Où puis-je louer une voiture?,Where can I rent a car?
Avez-vous une carte de la ville?,Do you have a map of the city?
Où est l'arrêt de bus?,Where is the bus stop?
Je voudrais acheter un billet,I would like to buy a ticket
Quel est le meilleur moyen d'aller à...?,What's the best way to get to...?
Pouvez-vous m'appeler un taxi?,Can you call me a taxi?
Où est l'ambassade?,Where is the embassy?
Est-ce que c'est loin?,Is it far?
Combien de temps faut-il pour aller à...?,How long does it take to get to...?
Où puis-je changer de l'argent?,Where can I exchange money?
Quelle est la monnaie locale?,What is the local currency?
Y a-t-il un distributeur près d'ici?,Is there an ATM nearby?
Où puis-je acheter un adaptateur?,Where can I buy an adapter?
Avez-vous des chambres libres?,Do you have any rooms available?
Je voudrais faire mon check-out,I would like to check out
Pouvez-vous garder mes bagages?,Can you store my luggage?
Où puis-je louer un vélo?,Where can I rent a bicycle?
