Spanish,English
¿Dónde está la estación de tren?,Where is the train station?
Quisiera reservar una habitación,I would like to book a room
¿A qué hora sale el tren?,What time does the train leave?
¿Dónde puedo alquilar un coche?,Where can I rent a car?
¿Tiene un mapa de la ciudad?,Do you have a map of the city?
¿Dónde está la parada de autobús?,Where is the bus stop?
Quiero comprar un billete,I would like to buy a ticket
¿Cuál es la mejor manera de llegar a...?,What's the best way to get to...?
¿Puede llamarme un taxi?,Can you call me a taxi?
¿Dónde está la embajada?,Where is the embassy?
¿Está lejos?,Is it far?
¿Cuánto se tarda en llegar a...?,How long does it take to get to...?
¿Dónde puedo cambiar dinero?,Where can I exchange money?
¿Cuál es la moneda local?,What is the local currency?
¿Hay un cajero automático cerca?,Is there an ATM nearby?
¿Dónde puedo comprar un adaptador?,Where can I buy an adapter?
¿Tienen habitaciones disponibles?,Do you have any rooms available?
Quiero hacer el check-out,I would like to check out
¿Pueden guardar mi equipaje?,Can you store my luggage?
¿Dónde puedo alquilar una bicicleta?,Where can I rent a bicycle?
