French,English
Je voudrais réserver une table,I would like to reserve a table
Une table pour deux personnes,A table for two people
Puis-je voir le menu?,May I see the menu?
Quels sont les plats du jour?,What are the daily specials?
Je suis végétarien(ne),I am vegetarian
Je suis allergique à...,I am allergic to...
L'addition s'il vous plaît,The bill please
Puis-je payer par carte?,Can I pay by card?
C'était délicieux,It was delicious
Qu'est-ce que vous recommandez?,What do you recommend?
Je voudrais un verre de vin,I would like a glass of wine
De l'eau du robinet s'il vous plaît,Tap water please
Est-ce que le service est inclus?,Is the service included?
Avez-vous une table en terrasse?,Do you have a table outside?
Pouvez-vous m'expliquer ce plat?,Can you explain this dish to me?
C'est trop cuit,It's overcooked
C'est pas assez cuit,It's undercooked
Puis-je avoir du sel et du poivre?,Can I have some salt and pepper?
Avez-vous un menu en anglais?,Do you have a menu in English?
Bon appétit!,Enjoy your meal!
