German,English
Wo ist der Bahnhof?,Where is the train station?
Ich möchte ein Zimmer reservieren,I would like to book a room
Wann fährt der Zug ab?,What time does the train leave?
Wo kann ich ein Auto mieten?,Where can I rent a car?
Haben Sie einen Stadtplan?,Do you have a map of the city?
Wo ist die Bushaltestelle?,Where is the bus stop?
Ich möchte eine Fahrkarte kaufen,I would like to buy a ticket
Was ist der beste Weg nach...?,What's the best way to get to...?
Können Sie mir ein Taxi rufen?,Can you call me a taxi?
Wo ist die Botschaft?,Where is the embassy?
Ist es weit?,Is it far?
Wie lange dauert es bis...?,How long does it take to get to...?
Wo kann ich Geld wechseln?,Where can I exchange money?
Was ist die lokale Währung?,What is the local currency?
Gibt es hier in der Nähe einen Geldautomaten?,Is there an ATM nearby?
Wo kann ich einen Adapter kaufen?,Where can I buy an adapter?
Haben Sie freie Zimmer?,Do you have any rooms available?
Ich möchte auschecken,I would like to check out
Können Sie mein Gepäck aufbewahren?,Can you store my luggage?
Wo kann ich ein Fahrrad mieten?,Where can I rent a bicycle?
