Mexican Spanish,English
¿Cuál es tu profesión?,What is your profession?
Trabajo en...,I work in...
¿Dónde está la sala de juntas?,Where is the meeting room?
¿Me puedes mandar un correo?,Can you send me an email?
¿Cuál es la fecha límite del proyecto?,What is the project deadline?
Estoy de vacaciones,I am on vacation
¿Podemos reagendar la junta?,Can we reschedule the meeting?
¿Ya terminaste el reporte?,Have you finished the report?
Hoy trabajo desde casa,I'm working from home today
¿Cuáles son mis responsabilidades?,What are my responsibilities?
¿Quién está a cargo de este proyecto?,Who is in charge of this project?
¿Puedo tomar un día libre?,Can I take a day off?
¿Cuál es tu número de oficina?,What is your office number?
¿Me puedes dar un resumen?,Can you give me a summary?
Necesito ayuda con este archivo,I need help with this file
¿A qué hora empieza la junta?,What time does the meeting start?
¿Tienes alguna pregunta?,Do you have any questions?
Soy nuevo aquí,I'm new here
¿Dónde puedo imprimir este documento?,Where can I print this document?
¡Buen trabajo!,Good job!
