French,English
Bonjour,Hello
Au revoir,Goodbye
S'il vous plaît,Please
Merci,Thank you
De rien,You're welcome
Comment allez-vous?,How are you?
Je vais bien,I'm fine
Comment vous appelez-vous?,What's your name?
Je m'appelle...,My name is...
Enchanté(e),Nice to meet you
Excusez-moi,Excuse me
Pardon,Sorry
Oui,Yes
Non,No
Je ne comprends pas,I don't understand
Pouvez-vous répéter?,Can you repeat that?
Parlez-vous anglais?,Do you speak English?
Je ne parle pas français,I don't speak French
Où sont les toilettes?,Where is the bathroom?
Combien ça coûte?,How much does this cost?
L'addition s'il vous plaît,The bill please
À votre santé!,Cheers!
Bon appétit!,Enjoy your meal!
Je voudrais...,I would like...
Quelle heure est-il?,What time is it?
Où est...?,Where is...?
À droite,On the right
À gauche,On the left
Tout droit,Straight ahead
Je suis perdu(e),I am lost
Pouvez-vous m'aider?,Can you help me?
Quel est le plat du jour?,What is the dish of the day?
Je suis allergique à...,I'm allergic to...
C'est délicieux!,It's delicious!
Je ne mange pas de...,I don't eat...
Avez-vous une carte?,Do you have a menu?
Puis-je avoir l'addition?,Can I have the bill?
Quel temps fait-il?,What's the weather like?
Il fait beau,The weather is nice
Il pleut,It's raining
J'ai besoin d'un médecin,I need a doctor
Appelez la police!,Call the police!
Où est la gare?,Where is the train station?
À quelle heure part le train?,What time does the train leave?
Un aller-retour pour...,A round-trip ticket to...
Je voudrais réserver une chambre,I'd like to book a room
Avez-vous une chambre libre?,Do you have a vacant room?
Où puis-je échanger de l'argent?,Where can I exchange money?
Pouvez-vous prendre une photo?,Can you take a photo?
