German,English
Wie geht es Ihnen?,How are you?
Sprechen Sie Englisch?,Do you speak English?
Ich verstehe nicht.,I don't understand.
Wo ist die Toilette?,Where is the bathroom?
Ich möchte bestellen.,I would like to order.
Wie viel kostet das?,How much does this cost?
Können Sie mir helfen?,Can you help me?
Ich habe mich verlaufen.,I am lost.
Prost!,Cheers!
Guten Appetit!,Enjoy your meal!
Guten Morgen,Good morning
Guten Tag,Good day
Guten Abend,Good evening
Auf Wiedersehen,Goodbye
Bitte,Please
Danke,Thank you
Entschuldigung,Excuse me
Ja,Yes
Nein,No
Wie heißen Sie?,What's your name?
Ich heiße...,My name is...
Freut mich Sie kennenzulernen,Nice to meet you
Woher kommen Sie?,Where are you from?
Ich komme aus...,I'm from...
Wie spät ist es?,What time is it?
Wo ist...?,Where is...?
Ich suche...,I'm looking for...
Kann ich mit Kreditkarte bezahlen?,Can I pay with credit card?
Haben Sie ein Zimmer frei?,Do you have a room available?
Ich möchte ein Bier bestellen,I'd like to order a beer
Können Sie das wiederholen?,Can you repeat that?
Sprechen Sie langsamer bitte,Please speak more slowly
Ich brauche einen Arzt,I need a doctor
Wo ist der nächste Bahnhof?,Where is the nearest train station?
Einen Tisch für zwei bitte,A table for two please
Die Rechnung bitte,The bill please
Wo kann ich ein Taxi finden?,Where can I find a taxi?
Ich bin Vegetarier,I am a vegetarian
Gibt es hier WLAN?,Is there WiFi here?
Können Sie mir auf der Karte zeigen...?,Can you show me on the map...?
Was empfehlen Sie?,What do you recommend?
Ich bin allergisch gegen...,I'm allergic to...
Wo kann ich Geld wechseln?,Where can I exchange money?
Wann fährt der nächste Bus?,When does the next bus leave?
Ich habe eine Reservierung,I have a reservation
Können Sie ein Foto von mir machen?,Can you take a photo of me?
Wie ist das Wetter morgen?,What's the weather like tomorrow?
Ich habe mein Gepäck verloren,I've lost my luggage
Wo ist die nächste Apotheke?,Where is the nearest pharmacy?
Ich brauche einen Adapter,I need an adapter
Wie lange dauert die Fahrt?,How long does the trip take?
