Mexican Spanish,English
¿Dónde está la estación del metro?,Where is the subway station?
Quiero reservar una habitación,I want to book a room
¿A qué hora sale el autobús?,What time does the bus leave?
¿Dónde puedo rentar un carro?,Where can I rent a car?
¿Tiene un mapa de la ciudad?,Do you have a map of the city?
¿Dónde está la parada del camión?,Where is the bus stop?
Quiero comprar un boleto,I want to buy a ticket
¿Cuál es la mejor forma de llegar a...?,What's the best way to get to...?
¿Me puede llamar un taxi?,Can you call me a taxi?
¿Dónde está la embajada?,Where is the embassy?
¿Está lejos?,Is it far?
¿Cuánto tiempo se hace para llegar a...?,How long does it take to get to...?
¿Dónde puedo cambiar dinero?,Where can I exchange money?
¿Cuál es la moneda local?,What is the local currency?
¿Hay un cajero cerca?,Is there an ATM nearby?
¿Dónde puedo comprar un adaptador?,Where can I buy an adapter?
¿Tienen cuartos disponibles?,Do you have rooms available?
Quiero hacer el check-out,I want to check out
¿Pueden guardar mi equipaje?,Can you store my luggage?
¿Dónde puedo rentar una bici?,Where can I rent a bike?
