Mexican Spanish,English
¿Cómo estás?,How are you?
¿Hablas inglés?,Do you speak English?
No entiendo.,I don't understand.
¿Dónde está el baño?,Where is the bathroom?
¿Cuánto cuesta esto?,How much does this cost?
¿Me puedes ayudar?,Can you help me?
Estoy perdido.,I am lost.
¡Salud!,Cheers!
Buenos días,Good morning
Buenas tardes,Good afternoon
Buenas noches,Good evening
Adiós,Goodbye
Por favor,Please
Gracias,Thank you
Disculpe,Excuse me
Sí,Yes
No,No
¿Cómo te llamas?,What's your name?
Me llamo...,My name is...
Mucho gusto,Nice to meet you
¿De dónde eres?,Where are you from?
Soy de...,I'm from...
¿Qué hora es?,What time is it?
¿Dónde está...?,Where is...?
Estoy buscando...,I'm looking for...
¿Puedes repetir eso?,Can you repeat that?
Habla más despacio por favor,Please speak more slowly
Necesito un médico,I need a doctor
¿Hay agua disponible?,Is water available?
Toma un descanso,Take a break
Necesitamos más herramientas,We need more tools
¿Dónde están las palas?,Where are the shovels?
Corten el césped por favor,Please mow the lawn
Poden los arbustos,Trim the bushes
Planten estas flores aquí,Plant these flowers here
Rieguen las plantas,Water the plants
Quiten las malas hierbas,Remove the weeds
Esparzan el mantillo,Spread the mulch
Tengan cuidado con las líneas eléctricas,Be careful with the power lines
Usen guantes de seguridad,Use safety gloves
Necesitamos más fertilizante,We need more fertilizer
¿Han terminado esta sección?,Have you finished this section?
Buen trabajo,Good job
Vamos a almorzar,Let's have lunch
La jornada ha terminado,The workday is over
Nos vemos mañana,See you tomorrow
¿Necesitan algo más?,Do you need anything else?
Cuidado con el tráfico,Watch out for traffic
Recojan todas las herramientas,Collect all the tools
Limpien el área de trabajo,Clean up the work area
¿Alguna pregunta?,Any questions?
Gracias por su arduo trabajo,Thank you for your hard work
¿Cómo estás?,How are you?
¿Hablas inglés?,Do you speak English?
No entiendo.,I don't understand.
¿Dónde está el baño?,Where is the bathroom?
Quisiera ordenar.,I would like to order.
¿Cuánto cuesta esto?,How much does this cost?
¿Me puedes ayudar?,Can you help me?
Estoy perdido.,I am lost.
¡Salud!,Cheers!
¡Buen provecho!,Enjoy your meal!
Buenos días,Good morning
Buenas tardes,Good afternoon
Buenas noches,Good evening
Adiós,Goodbye
Por favor,Please
Gracias,Thank you
Disculpe,Excuse me
Sí,Yes
No,No
¿Cómo te llamas?,What's your name?
Me llamo...,My name is...
Mucho gusto,Nice to meet you
¿De dónde eres?,Where are you from?
Soy de...,I'm from...
¿Qué hora es?,What time is it?
¿Dónde está...?,Where is...?
Estoy buscando...,I'm looking for...
¿Puedo pagar con tarjeta?,Can I pay with card?
¿Tienen habitaciones disponibles?,Do you have rooms available?
Quiero una cerveza,I want a beer
¿Puedes repetir eso?,Can you repeat that?
Habla más despacio por favor,Please speak more slowly
Necesito un médico,I need a doctor
¿Dónde está la estación de metro más cercana?,Where is the nearest metro station?
Una mesa para dos por favor,A table for two please
La cuenta por favor,The bill please
¿Dónde puedo tomar un taxi?,Where can I take a taxi?
Soy vegetariano,I am a vegetarian
¿Hay WiFi aquí?,Is there WiFi here?
¿Me puedes mostrar en el mapa...?,Can you show me on the map...?
¿Qué me recomiendas?,What do you recommend?
Soy alérgico a...,I'm allergic to...
¿Dónde puedo cambiar dinero?,Where can I exchange money?
¿Cuándo sale el próximo camión?,When does the next bus leave?
Tengo una reservación,I have a reservation
¿Me puedes tomar una foto?,Can you take a photo of me?
¿Cómo estará el clima mañana?,What will the weather be like tomorrow?
Perdí mi equipaje,I lost my luggage
¿Dónde está la farmacia más cercana?,Where is the nearest pharmacy?
Necesito un adaptador,I need an adapter
¿Cuánto tiempo dura el viaje?,How long does the trip take?
¿Dónde puedo comprar boletos?,Where can I buy tickets?
¿Me puede dar un recibo?,Can you give me a receipt?
