Spanish,English
Hola,Hello
Adiós,Goodbye
Por favor,Please
Gracias,Thank you
Perdón,Excuse me
¿Cómo estás?,How are you?
Me llamo...,My name is...
Encantado/a,Nice to meet you
Sí,Yes
No,No
No entiendo,I don't understand
¿Puede repetir?,Can you repeat that?
¿Habla inglés?,Do you speak English?
No hablo español,I don't speak Spanish
¿Dónde está el baño?,Where is the restroom?
¿Qué hora es?,What time is it?
¿Cuánto cuesta?,How much does it cost?
¿Cuánto es?,How much is it?
Estoy perdido/a,I am lost
¡Ayuda!,Help!
