Mexican Spanish,English
Quisiera hacer una reservación,I would like to make a reservation
Una mesa para dos por favor,A table for two please
¿Puedo ver el menú?,Can I see the menu?
¿Cuáles son los especiales de hoy?,What are today's specials?
Soy vegetariano,I am vegetarian
Soy alérgico a...,I am allergic to...
La cuenta por favor,The bill please
¿Puedo pagar con tarjeta?,Can I pay with card?
Estuvo muy rico,It was very delicious
¿Qué me recomienda?,What do you recommend?
Quisiera una copa de vino,I would like a glass of wine
Agua de la llave por favor,Tap water please
¿Está incluida la propina?,Is the tip included?
¿Tienen una mesa en la terraza?,Do you have a table on the terrace?
¿Me puede explicar este platillo?,Can you explain this dish to me?
Está muy cocido,It's overcooked
Está crudo,It's undercooked
¿Me puede traer sal y pimienta?,Can you bring me salt and pepper?
¿Tienen un menú en inglés?,Do you have a menu in English?
¡Provecho!,Enjoy your meal!
