Spanish,English
Hola,Hello
Adiós,Goodbye
Por favor,Please
Gracias,Thank you
De nada,You're welcome
¿Cómo estás?,How are you?
Estoy bien,I'm fine
¿Cómo te llamas?,What's your name?
Me llamo...,My name is...
Mucho gusto,Nice to meet you
Disculpe,Excuse me
Lo siento,Sorry
Sí,Yes
No,No
No entiendo,I don't understand
¿Puede repetir?,Can you repeat that?
¿Habla inglés?,Do you speak English?
No hablo español,I don't speak Spanish
¿Dónde está el baño?,Where is the bathroom?
¿Cuánto cuesta?,How much does this cost?
La cuenta por favor,The bill please
¡Salud!,Cheers!
¡Buen provecho!,Enjoy your meal!
Quisiera...,I would like...
¿Qué hora es?,What time is it?
¿Dónde está...?,Where is...?
A la derecha,On the right
A la izquierda,On the left
Todo recto,Straight ahead
Estoy perdido/a,I am lost
¿Puede ayudarme?,Can you help me?
¿Cuál es el plato del día?,What is the dish of the day?
Soy alérgico/a a...,I'm allergic to...
¡Está delicioso!,It's delicious!
No como...,I don't eat...
¿Tiene menú?,Do you have a menu?
¿Puedo tener la cuenta?,Can I have the bill?
¿Qué tiempo hace?,What's the weather like?
Hace buen tiempo,The weather is nice
Está lloviendo,It's raining
Necesito un médico,I need a doctor
¡Llame a la policía!,Call the police!
¿Dónde está la estación de tren?,Where is the train station?
¿A qué hora sale el tren?,What time does the train leave?
Un billete de ida y vuelta a...,A round-trip ticket to...
Quisiera reservar una habitación,I'd like to book a room
¿Tiene habitaciones libres?,Do you have vacant rooms?
¿Dónde puedo cambiar dinero?,Where can I exchange money?
¿Puede tomar una foto?,Can you take a photo?
¿Cómo se dice ... en español?,How do you say ... in Spanish?
