Spanish,English
Eres muy guapo/guapa,You are very handsome/beautiful
¿Puedo invitarte a una copa?,Can I buy you a drink?
¿Vienes aquí a menudo?,Do you come here often?
Me gustaría conocerte mejor,I'd like to get to know you better
¿Te apetece tomar un café?,Would you like to go for coffee sometime?
Tienes una sonrisa preciosa,You have a beautiful smile
¿A qué te dedicas?,What do you do for a living?
¿Tienes planes para el fin de semana?,Do you have any plans for the weekend?
Me gusta mucho tu estilo,I really like your style
¿Podríamos intercambiar números?,Could we exchange numbers?
¿Tienes hermanos?,Do you have any siblings?
¿Qué tipo de música te gusta?,What kind of music do you like?
Lo estoy pasando muy bien contigo,I'm having a great time with you
¿Tienes mascotas?,Do you have any pets?
¿Cuál es tu película favorita?,What's your favorite movie?
¿Te gusta viajar?,Do you like to travel?
¿Podríamos volver a vernos?,Could we see each other again?
¿Practicas algún deporte?,Do you play any sports?
Me encanta tu sentido del humor,I love your sense of humor
Me alegro de haberte conocido,I'm glad I met you
