French,English
Bonjour,Hello
Au revoir,Goodbye
S'il vous plaît,Please
Merci,Thank you
Excusez-moi,Excuse me
Comment allez-vous?,How are you?
Je m'appelle...,My name is...
Enchanté(e),Nice to meet you
Oui,Yes
Non,No
Je ne comprends pas,I don't understand
Pouvez-vous répéter?,Can you repeat that?
Parlez-vous anglais?,Do you speak English?
Je ne parle pas français,I don't speak French
Où sont les toilettes?,Where are the restrooms?
Quelle heure est-il?,What time is it?
Combien ça coûte?,How much does it cost?
C'est combien?,How much is it?
Je suis perdu(e),I am lost
Au secours!,Help!
