French,English
Tu es très beau/belle,You are very handsome/beautiful
Je peux t'offrir un verre?,Can I buy you a drink?
Tu viens souvent ici?,Do you come here often?
J'aimerais mieux te connaître,I'd like to get to know you better
On pourrait aller prendre un café?,Would you like to go for coffee sometime?
Tu as un très beau sourire,You have a beautiful smile
Qu'est-ce que tu fais dans la vie?,What do you do for a living?
Tu as des projets pour ce weekend?,Do you have any plans for the weekend?
J'aime beaucoup ton style,I really like your style
On pourrait échanger nos numéros?,Could we exchange numbers?
Tu as des frères et sœurs?,Do you have any siblings?
Quel genre de musique aimes-tu?,What kind of music do you like?
Je passe un très bon moment avec toi,I'm having a great time with you
Tu as des animaux de compagnie?,Do you have any pets?
Quel est ton film préféré?,What's your favorite movie?
Tu aimes voyager?,Do you like to travel?
On pourrait se revoir?,Could we see each other again?
Tu fais du sport?,Do you play any sports?
J'adore ton sens de l'humour,I love your sense of humor
Je suis content(e) de t'avoir rencontré(e),I'm glad I met you
