Mexican Spanish,English
Hola,Hello
Adiós,Goodbye
Por favor,Please
Gracias,Thank you
De nada,You're welcome
Disculpe,Excuse me
¿Cómo estás?,How are you?
Me llamo...,My name is...
Mucho gusto,Nice to meet you
Sí,Yes
No,No
No entiendo,I don't understand
¿Puede repetir?,Can you repeat that?
¿Hablas inglés?,Do you speak English?
No hablo español,I don't speak Spanish
¿Dónde está el baño?,Where's the bathroom?
¿Qué hora es?,What time is it?
¿Cuánto cuesta?,How much does it cost?
Estoy perdido,I'm lost
¡Ayuda!,Help!
