Spanish,English
¿Cuál es su profesión?,What is your profession?
Trabajo en...,I work in...
¿Dónde está la sala de reuniones?,Where is the meeting room?
¿Puede enviarme un correo electrónico?,Can you send me an email?
¿Cuál es la fecha límite para este proyecto?,What is the deadline for this project?
Estoy de vacaciones,I am on vacation
¿Podemos reprogramar la reunión?,Can we reschedule the meeting?
¿Ha terminado el informe?,Have you finished the report?
Hoy trabajo desde casa,I'm working from home today
¿Cuáles son mis responsabilidades?,What are my responsibilities?
¿Quién está a cargo de este proyecto?,Who is in charge of this project?
¿Puedo tomar un día libre?,Can I take a day off?
¿Cuál es su número de teléfono del trabajo?,What is your work phone number?
¿Puede darme un resumen?,Can you give me a summary?
Necesito ayuda con este archivo,I need help with this file
¿A qué hora empieza la reunión?,What time does the meeting start?
¿Tiene alguna pregunta?,Do you have any questions?
Soy nuevo/
