German,English
Ich möchte einen Tisch reservieren,I would like to reserve a table
Ein Tisch für zwei Personen,A table for two people
Kann ich die Speisekarte sehen?,May I see the menu?
Was sind die Tagesgerichte?,What are the daily specials?
Ich bin Vegetarier,I am vegetarian
Ich bin allergisch gegen...,I am allergic to...
Die Rechnung bitte,The bill please
Kann ich mit Karte bezahlen?,Can I pay by card?
Es war köstlich,It was delicious
Was empfehlen Sie?,What do you recommend?
Ich hätte gerne ein Glas Wein,I would like a glass of wine
Leitungswasser bitte,Tap water please
Ist der Service im Preis inbegriffen?,Is the service included?
Haben Sie einen Tisch draußen?,Do you have a table outside?
Können Sie mir dieses Gericht erklären?,Can you explain this dish to me?
Es ist zu durch,It's overcooked
Es ist nicht gar,It's undercooked
Kann ich Salz und Pfeffer haben?,Can I have some salt and pepper?
Haben Sie eine Speisekarte auf Englisch?,Do you have a menu in English?
Guten Appetit!,Enjoy your meal!
