French,English
abandonner,to abandon
abondant,abundant
aborder,to approach
aboutir,to result in
absence,absence
absolu,absolute
absorber,to absorb
abstrait,abstract
abuser,to abuse
accéder,to access
accepter,to accept
accompagner,to accompany
accomplir,to accomplish
accord,agreement
accrocher,to hang
accueillir,to welcome
accumuler,to accumulate
accuser,to accuse
acheter,to buy
achever,to complete
acquérir,to acquire
adapter,to adapt
ajouter,to add
alimenter,to feed
alléger,to lighten
allumer,to light
améliorer,to improve
amener,to bring
amuser,to amuse
analyser,to analyze
annoncer,to announce
anticiper,to anticipate
apercevoir,to perceive
apparaître,to appear
appartenir,to belong
appeler,to call
appliquer,to apply
apporter,to bring
apprécier,to appreciate
apprendre,to learn
approcher,to approach
approuver,to approve
appuyer,to support
argumenter,to argue
arranger,to arrange
arrêter,to stop
arriver,to arrive
assister,to assist
assurer,to ensure
attacher,to attach
atteindre,to reach
attendre,to wait
attirer,to attract
augmenter,to increase
autoriser,to authorize
avancer,to advance
éviter,to avoid
baigner,to bathe
baisser,to lower
balancer,to swing
bâtir,to build
battre,to beat
bénéficier,to benefit
blesser,to hurt
bloquer,to block
boire,to drink
bouger,to move
briller,to shine
briser,to break
cacher,to hide
calculer,to calculate
calmer,to calm
caractériser,to characterize
casser,to break
causer,to cause
céder,to yield
célébrer,to celebrate
changer,to change
chanter,to sing
charger,to load
chasser,to hunt
chauffer,to heat
choisir,to choose
chuter,to fall
citer,to quote
clarifier,to clarify
classer,to classify
collaborer,to collaborate
collecter,to collect
combattre,to fight
commander,to order
commencer,to begin
communiquer,to communicate
comparer,to compare
compenser,to compensate
compléter,to complete
comprendre,to understand
compter,to count
concentrer,to concentrate
concevoir,to conceive
conclure,to conclude
condamner,to condemn
conduire,to drive
confirmer,to confirm
confondre,to confuse
connaître,to know
connecter,to connect
conquérir,to conquer
conseiller,to advise
conserver,to preserve
considérer,to consider
constituer,to constitute
consulter,to consult
contacter,to contact
contenir,to contain
continuer,to continue
contraindre,to constrain
contribuer,to contribute
convaincre,to convince
convenir,to agree
convertir,to convert
coopérer,to cooperate
coordonner,to coordinate
corriger,to correct
coucher,to lie down
couper,to cut
courir,to run
coûter,to cost
couvrir,to cover
craindre,to fear
créer,to create
crier,to shout
critiquer,to criticize
croire,to believe
cultiver,to cultivate
danser,to dance
débattre,to debate
débuter,to begin
décider,to decide
déclarer,to declare
découvrir,to discover
décrire,to describe
dédier,to dedicate
défendre,to defend
définir,to define
dégager,to clear
déguster,to taste
demander,to ask
démontrer,to demonstrate
dépasser,to exceed
dépendre,to depend
déplacer,to move
déposer,to deposit
désigner,to designate
dessiner,to draw
détacher,to detach
déterminer,to determine
détruire,to destroy
développer,to develop
devenir,to become
deviner,to guess
devoir,to have to
diffuser,to broadcast
diminuer,to decrease
diriger,to direct
discuter,to discuss
disparaître,to disappear
disposer,to arrange
distinguer,to distinguish
distribuer,to distribute
diviser,to divide
dormir,to sleep
douter,to doubt
échanger,to exchange
échapper,to escape
échouer,to fail
éclater,to burst
écouter,to listen
écrire,to write
effacer,to erase
effectuer,to carry out
élaborer,to elaborate
élever,to raise
éliminer,to eliminate
éloigner,to move away
embrasser,to kiss
émettre,to emit
emmener,to take
empêcher,to prevent
employer,to employ
emprunter,to borrow
encourager,to encourage
endormir,to put to sleep
énerver,to annoy
engager,to engage
enlever,to remove
ennuyer,to bore
enrichir,to enrich
enseigner,to teach
entendre,to hear
entrer,to enter
envoyer,to send
espérer,to hope
essayer,to try
établir,to establish
étaler,to spread
étendre,to extend
étudier,to study
évaluer,to evaluate
éveiller,to awaken
éviter,to avoid
évoluer,to evolve
exagérer,to exaggerate
examiner,to examine
excuser,to excuse
exécuter,to execute
exercer,to exercise
exiger,to demand
expliquer,to explain
explorer,to explore
exporter,to export
exposer,to expose
exprimer,to express
fabriquer,to manufacture
faciliter,to facilitate
façonner,to shape
facturer,to invoice
faillir,to fail
faire,to do
falloir,to be necessary
familiariser,to familiarize
favoriser,to favor
féliciter,to congratulate
fermer,to close
fêter,to celebrate
financer,to finance
finir,to finish
fixer,to fix
fleurir,to bloom
fonctionner,to function
fonder,to found
forcer,to force
former,to form
formuler,to formulate
fournir,to provide
gagner,to win
garder,to keep
gaspiller,to waste
gérer,to manage
glisser,to slide
goûter,to taste
grandir,to grow
garantir,to guarantee
habiter,to live
hésiter,to hesitate
honorer,to honor
identifier,to identify
ignorer,to ignore
imaginer,to imagine
imiter,to imitate
imposer,to impose
imprimer,to print
inclure,to include
indiquer,to indicate
influencer,to influence
informer,to inform
inquiéter,to worry
inscrire,to register
insérer,to insert
insister,to insist
inspirer,to inspire
installer,to install
intégrer,to integrate
interpréter,to interpret
interroger,to question
intervenir,to intervene
inventer,to invent
inviter,to invite
jeter,to throw
joindre,to join
jouer,to play
juger,to judge
jurer,to swear
justifier,to justify
lancer,to throw
laver,to wash
lever,to raise
libérer,to free
lier,to link
limiter,to limit
lire,to read
livrer,to deliver
loger,to lodge
louer,to rent
maintenir,to maintain
maîtriser,to master
manger,to eat
manquer,to miss
marcher,to walk
marquer,to mark
mélanger,to mix
menacer,to threaten
mentir,to lie
mériter,to deserve
mesurer,to measure
mettre,to put
modifier,to modify
monter,to go up
montrer,to show
motiver,to motivate
mourir,to die
nager,to swim
naître,to be born
négliger,to neglect
négocier,to negotiate
nettoyer,to clean
nommer,to name
noter,to note
nourrir,to feed
observer,to observe
obtenir,to obtain
occuper,to occupy
offrir,to offer
omettre,to omit
opérer,to operate
opposer,to oppose
organiser,to organize
oser,to dare
oublier,to forget
ouvrir,to open
paraître,to appear
pardonner,to forgive
parfaire,to perfect
parier,to bet
parler,to speak
partager,to share
participer,to participate
partir,to leave
parvenir,to reach
passer,to pass
payer,to pay
pêcher,to fish
peindre,to paint
pencher,to lean
penser,to think
percevoir,to perceive
perdre,to lose
perfectionner,to perfect
permettre,to allow
persuader,to persuade
peser,to weigh
placer,to place
plaindre,to complain
plaire,to please
planifier,to plan
planter,to plant
pleurer,to cry
plonger,to dive
porter,to carry
poser,to put
posséder,to possess
pousser,to push
pouvoir,to be able
pratiquer,to practice
préciser,to specify
préférer,to prefer
prendre,to take
préparer,to prepare
présenter,to present
préserver,to preserve
présider,to preside
prétendre,to claim
prévenir,to warn
prier,to pray
produire,to produce
profiter,to benefit
programmer,to program
projeter,to project
promettre,to promise
promouvoir,to promote
prononcer,to pronounce
proposer,to propose
protéger,to protect
prouver,to prove
provoquer,to provoke
publier,to publish
punir,to punish
quitter,to leave
raconter,to tell
ralentir,to slow down
ramasser,to pick up
ranger,to tidy
rappeler,to remind
rapporter,to report
rassembler,to gather
rassurer,to reassure
rattraper,to catch up
réagir,to react
réaliser,to realize
recevoir,to receive
rechercher,to search
réclamer,to claim
recommander,to recommend
reconnaître,to recognize
reconstruire,to rebuild
réduire,to reduce
réfléchir,to reflect
refuser,to refuse
regarder,to look
régner,to reign
regretter,to regret
rejeter,to reject
rejoindre,to join
relever,to raise
relier,to connect
remarquer,to notice
remercier,to thank
remettre,to put back
